"12ak -- Deaths by age (5-year), sex and area, 1990-2021"

"Year","Area","Females Total Deaths","Females 0 Deaths","Females 1 - 4 Deaths","Females 5 - 9 Deaths","Females 10 - 14 Deaths","Females 15 - 19 Deaths","Females 20 - 24 Deaths","Females 25 - 29 Deaths","Females 30 - 34 Deaths","Females 35 - 39 Deaths","Females 40 - 44 Deaths","Females 45 - 49 Deaths","Females 50 - 54 Deaths","Females 55 - 59 Deaths","Females 60 - 64 Deaths","Females 65 - 69 Deaths","Females 70 - 74 Deaths","Females 75 - 79 Deaths","Females 80 - 84 Deaths","Females 85 - 89 Deaths","Females 90 - 94 Deaths","Females 95 - Deaths"
"1990","Liperi",53,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,9,9,15,8,3,0
"1990","Lohja",178,2,2,0,0,0,1,2,2,1,3,4,1,3,8,11,20,28,39,32,16,3
"1990","Loimaa",125,1,0,0,0,0,0,0,0,0,1,1,2,5,11,10,9,22,21,27,12,3
"1990","Loppi",39,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,3,8,11,5,5,0
"1990","Loviisa",107,0,0,0,0,0,1,1,0,0,1,1,2,0,5,6,10,17,25,23,10,5
"1990","Luhanka",7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,0
"1990","Lumijoki",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0
"1990","Lumparland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","Larsmo",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,1,0
"1990","Luumäki",30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,6,5,6,5,0
"1990","Malax",31,0,0,0,0,0,0,1,0,0,0,1,0,2,1,5,1,7,6,5,2,0
"1990","Mariehamn",40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,4,11,8,6,1
"1990","Marttila",9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,1,0,0,0
"1990","Masku",25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,7,5,5,3,0
"1990","Merijärvi",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0
"1990","Merikarvia",19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,3,3,1
"1990","Miehikkälä",16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,4,0,3,1,2,0
"1990","Mikkeli",285,2,0,0,1,1,0,1,3,4,3,7,6,6,17,25,39,45,63,32,24,6
"1990","Muhos",34,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,5,7,5,7,2,1
"1990","Multia",20,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,4,2,5,0,2
